桥预制板new10,-29779.23,250,27.57,-30388.81,2525,71.49,-20439.87,2525,97.36,-19830.28,250,53.44,-29779.23,250,527.57,-30388.81,2525,571.49,-20439.87,2525,597.36,-19830.28,250,553.44
桥预制板new11,-30556.28,3150,83.55,-31145.77,5350,126.02,-21196.83,5350,151.89,-20607.34,3150,109.42,-30556.28,3150,583.55,-31145.77,5350,626.02,-21196.83,5350,651.89,-20607.34,3150,609.42
桥预制板new12,-19809.58,250,53.5,-20419.16,2525,97.41,-10459.87,2525,123.3,-9850.28,250,79.39,-19809.58,250,553.5,-20419.16,2525,597.41,-10459.87,2525,623.3,-9850.28,250,579.39
桥预制板new13,-20586.63,3150,109.47,-21176.12,5350,151.94,-11216.83,5350,177.84,-10627.34,3150,135.37,-20586.63,3150,609.47,-21176.12,5350,651.94,-11216.83,5350,677.84,-10627.34,3150,635.37
桥预制板new14,-9829.58,250,79.44,-10439.16,2525,123.36,-490.22,2525,149.23,119.36,250,105.31,-9829.58,250,579.44,-10439.16,2525,623.36,-490.22,2525,649.23,119.36,250,605.31
桥预制板new15,-10606.63,3150,135.42,-11196.12,5350,177.89,-1247.18,5350,203.76,-657.69,3150,161.29,-10606.63,3150,635.42,-11196.12,5350,677.89,-1247.18,5350,703.76,-657.69,3150,661.29
桥现浇混凝土16,-30388.81,2525,71.49,-30556.28,3150,83.55,-20607.34,3150,109.42,-20439.87,2525,97.36,-30388.81,2525,571.49,-30556.28,3150,583.55,-20607.34,3150,609.42,-20439.87,2525,597.36
桥现浇混凝土17,-20419.16,2525,97.41,-20586.63,3150,109.47,-10627.34,3150,135.37,-10459.87,2525,123.3,-20419.16,2525,597.41,-20586.63,3150,609.47,-10627.34,3150,635.37,-10459.87,2525,623.3
桥现浇混凝土18,-10439.16,2525,123.36,-10606.63,3150,135.42,-657.69,3150,161.29,-490.22,2525,149.23,-10439.16,2525,623.36,-10606.63,3150,635.42,-657.69,3150,661.29,-490.22,2525,649.23
桥现浇混凝土19,-36350.68,24775,500.99,-36471.26,25225,509.67,-26522.32,25225,535.54,-26401.74,24775,526.86,-36350.68,24775,1000.99,-36471.26,25225,1009.67,-26522.32,25225,1035.54,-26401.74,24775,1026.86
桥现浇混凝土20,-26381.03,24775,526.91,-26501.61,25225,535.6,-16542.32,25225,561.49,-16421.74,24775,552.8,-26381.03,24775,1026.91,-26501.61,25225,1035.6,-16542.32,25225,1061.49,-16421.74,24775,1052.8
桥现浇混凝土21,-16401.03,24775,552.86,-16521.61,25225,561.54,-6572.67,25225,587.41,-6452.09,24775,578.72,-16401.03,24775,1052.86,-16521.61,25225,1061.54,-6572.67,25225,1087.41,-6452.09,24775,1078.72
桥现浇混凝土22,-35640.62,22125,449.83,-35761.19,22575,458.52,-25812.25,22575,484.39,-25691.67,22125,475.7,-35640.62,22125,949.83,-35761.19,22575,958.52,-25812.25,22575,984.39,-25691.67,22125,975.7
桥现浇混凝土23,-25670.97,22125,475.76,-25791.55,22575,484.44,-15832.25,22575,510.34,-15711.67,22125,501.65,-25670.97,22125,975.76,-25791.55,22575,984.44,-15832.25,22575,1010.34,-15711.67,22125,1001.65
桥现浇混凝土24,-15690.97,22125,501.7,-15811.55,22575,510.39,-5862.6,22575,536.26,-5742.03,22125,527.57,-15690.97,22125,1001.7,-15811.55,22575,1010.39,-5862.6,22575,1036.26,-5742.03,22125,1027.57
